playlist_id,track_id,position,user_id,playlist_name,album_id,track_title,duration,genre,artist_id,album_title,release_date,artist_name,country,genre_art,debut_day,plan_type,status,start_date_x,subscription_id,plan_id,sub_status,start_date_y,end_date,is_auto_renew,plan_name,billing_cycle,price,max_users,trial_days
PL001,T001,1,US001,발라드,AL001,RUDE!,200,K‑Pop,A001,RUDE! - Single,2026-02-20,Hearts2Hearts,Korea,K‑Pop,2025-01-12,개인,Active,2026-02-25 14:22:20,S001,P001,ACTIVE,2025-10-15 10:30:00,2026-03-15 10:30:00,1,Individual_KR_Monthly,MONTHLY,8900.0,1,30
PL002,T003,1,US002,조용한 음악,AL002,404 (New Era),180,K‑Pop,A002,Delulu Pack - EP,2026-01-26,키키,,K‑Pop,,가족,Canceled,2026-02-25 14:22:20,S002,P002,ACTIVE,2025-12-22 14:20:00,2026-03-22 14:20:00,1,Family_KR_Monthly,MONTHLY,13500.0,6,30
PL003,T010,1,US003,공부할때듣는음악,AL004,Apple Pie,186,K‑Pop,A001,FOCUS - The 1st Mini Album - EP,2025-10-20,Hearts2Hearts,Korea,K‑Pop,2025-01-12,학생,Active,2026-02-25 14:22:20,S003,P004,ACTIVE,2026-01-10 09:15:00,2026-03-10 09:15:00,1,Individual_US_Monthly,MONTHLY,10.99,1,30
PL004,T001,1,US004,산책할때 듣는 음악,AL001,RUDE!,200,K‑Pop,A001,RUDE! - Single,2026-02-20,Hearts2Hearts,Korea,K‑Pop,2025-01-12,개인,Canceled,2026-02-25 14:22:20,S004,P004,CANCELED,2023-08-05 18:45:00,2023-11-05 18:45:00,0,Individual_US_Monthly,MONTHLY,10.99,1,30
PL005,T008,1,US005,드라이브 음악,AL003,BANG BANG,177,K‑Pop,A003,BANG BANG - Single,2026-02-09,아이브,,K‑Pop,,가족,Active,2026-02-25 14:22:20,S005,P003,TRIAL,2026-02-01 11:11:00,2026-03-03 11:11:00,1,Student_KR_Monthly,MONTHLY,4450.0,1,30
PL001,T002,2,US001,발라드,AL002,Delulu,144,K‑Pop,A002,Delulu Pack - EP,2026-01-26,키키,,K‑Pop,,개인,Active,2026-02-25 14:22:20,S001,P001,ACTIVE,2025-10-15 10:30:00,2026-03-15 10:30:00,1,Individual_KR_Monthly,MONTHLY,8900.0,1,30
PL002,T004,2,US002,조용한 음악,AL002,UNDERDOGS,183,K‑Pop,A002,Delulu Pack - EP,2026-01-26,키키,,K‑Pop,,가족,Canceled,2026-02-25 14:22:20,S002,P002,ACTIVE,2025-12-22 14:20:00,2026-03-22 14:20:00,1,Family_KR_Monthly,MONTHLY,13500.0,6,30
PL003,T011,2,US003,공부할때듣는음악,AL004,Pretty Please,204,K‑Pop,A001,FOCUS - The 1st Mini Album - EP,2025-10-20,Hearts2Hearts,Korea,K‑Pop,2025-01-12,학생,Active,2026-02-25 14:22:20,S003,P004,ACTIVE,2026-01-10 09:15:00,2026-03-10 09:15:00,1,Individual_US_Monthly,MONTHLY,10.99,1,30
PL005,T009,2,US005,드라이브 음악,AL004,FOCUS,177,K‑Pop,A001,FOCUS - The 1st Mini Album - EP,2025-10-20,Hearts2Hearts,Korea,K‑Pop,2025-01-12,가족,Active,2026-02-25 14:22:20,S005,P003,TRIAL,2026-02-01 11:11:00,2026-03-03 11:11:00,1,Student_KR_Monthly,MONTHLY,4450.0,1,30
PL001,T003,3,US001,발라드,AL002,404 (New Era),180,K‑Pop,A002,Delulu Pack - EP,2026-01-26,키키,,K‑Pop,,개인,Active,2026-02-25 14:22:20,S001,P001,ACTIVE,2025-10-15 10:30:00,2026-03-15 10:30:00,1,Individual_KR_Monthly,MONTHLY,8900.0,1,30
PL002,T005,3,US002,조용한 음악,AL002,멍냥,177,K‑Pop,A002,Delulu Pack - EP,2026-01-26,키키,,K‑Pop,,가족,Canceled,2026-02-25 14:22:20,S002,P002,ACTIVE,2025-12-22 14:20:00,2026-03-22 14:20:00,1,Family_KR_Monthly,MONTHLY,13500.0,6,30
PL005,T010,3,US005,드라이브 음악,AL004,Apple Pie,186,K‑Pop,A001,FOCUS - The 1st Mini Album - EP,2025-10-20,Hearts2Hearts,Korea,K‑Pop,2025-01-12,가족,Active,2026-02-25 14:22:20,S005,P003,TRIAL,2026-02-01 11:11:00,2026-03-03 11:11:00,1,Student_KR_Monthly,MONTHLY,4450.0,1,30
PL002,T006,4,US002,조용한 음악,AL002,Dizzy,153,K‑Pop,A002,Delulu Pack - EP,2026-01-26,키키,,K‑Pop,,가족,Canceled,2026-02-25 14:22:20,S002,P002,ACTIVE,2025-12-22 14:20:00,2026-03-22 14:20:00,1,Family_KR_Monthly,MONTHLY,13500.0,6,30
